id,title,budget,revenue,runtime,pop_actors,vote_average,vote_count,pop_directors,pop_producer
5,Four Rooms,4000000,4257354,98.0,98.765,5.7,2086,30.168,1.551
6,Judgment Night,21000000,12136938,110.0,61.835,6.5,224,2.359,0.6
11,Star Wars,11000000,775398007,121.0,84.79599999999999,8.2,16675,21.636,2.3899999999999997
12,Finding Nemo,94000000,940335536,100.0,99.258,7.8,15985,9.682,1.4
13,Forrest Gump,55000000,677387716,142.0,107.316,8.5,22143,3.925,5.474
14,American Beauty,15000000,356296601,122.0,79.864,8.0,9988,4.462,2.145
15,Citizen Kane,839727,23218000,119.0,32.391,8.0,4274,8.62,9.62
16,Dancer in the Dark,12800000,40031879,141.0,69.637,7.9,1342,10.601,12.374
18,The Fifth Element,90000000,263920180,126.0,93.147,7.5,8749,10.859,3.926
22,Pirates of the Caribbean: The Curse of the Black Pearl,140000000,655011224,143.0,109.947,7.8,16986,5.102,2.59
24,Kill Bill: Vol. 1,30000000,180899265,111.0,107.979,8.0,14268,18.166,6.853
25,Jarhead,72000000,97076152,123.0,78.53,6.6,2204,4.462,1.972
27,9 Songs,1000000,1574623,70.0,16.259,5.6,359,2.558,6.061
28,Apocalypse Now,31500000,150000000,147.0,62.745000000000005,8.3,6331,5.384,5.384
33,Unforgiven,14400000,159157447,130.0,91.209,7.9,3288,29.786,30.386000000000003
35,The Simpsons Movie,75000000,527068851,87.0,63.712999999999994,7.0,6598,15.825,37.918
38,Eternal Sunshine of the Spotless Mind,20000000,72258126,108.0,108.566,8.1,11962,4.633,1.9460000000000002
58,Pirates of the Caribbean: Dead Man's Chest,200000000,1065659812,151.0,119.163,7.3,13046,5.102,2.59
59,A History of Violence,32000000,60740827,96.0,60.08399999999999,7.2,2416,10.153,1.2
62,2001: A Space Odyssey,12000000,71923560,149.0,21.987999999999996,8.1,9084,9.805,10.405
63,Twelve Monkeys,29000000,168841459,129.0,101.78399999999999,7.6,6669,5.027,2.562
65,8 Mile,41000000,242875078,111.0,79.292,7.1,5711,1.075,4.14
66,Absolute Power,50000000,50068310,121.0,102.35999999999999,6.6,761,29.786,31.786
69,Walk the Line,28000000,186797986,136.0,86.485,7.5,2241,6.924,7.289999999999999
70,Million Dollar Baby,30000000,216763646,132.0,98.137,8.0,7704,29.786,35.379999999999995
71,Billy Elliot,5000000,109280263,110.0,54.231,7.6,3128,1.384,5.949999999999999
67,Paradise Now,2000000,3395627,90.0,20.98,7.0,179,0.614,6.315999999999999
73,American History X,20000000,23875127,119.0,84.105,8.4,9332,4.031,0.6
74,War of the Worlds,132000000,603873119,117.0,99.477,6.5,6691,39.187,6.116
75,Mars Attacks!,70000000,101371017,106.0,84.737,6.4,4372,15.143,16.723000000000003
76,Before Sunrise,2500000,5987386,101.0,31.503,7.9,3055,4.243,0.6
77,Memento,9000000,39723096,113.0,76.206,8.2,11910,18.254,2.7889999999999997
78,Blade Runner,28000000,41670166,118.0,75.764,7.9,11159,10.675,1.38
80,Before Sunset,2700000,15992615,80.0,38.824999999999996,7.8,2540,4.243,4.843
82,Miami Vice,135000000,163794509,132.0,114.152,5.9,1317,9.081,10.609
83,Open Water,130000,54667954,79.0,12.783999999999999,5.5,842,0.739,0.98
85,Raiders of the Lost Ark,18000000,389925971,115.0,63.522,7.9,9832,39.187,2.658
87,Indiana Jones and the Temple of Doom,28000000,333000000,118.0,70.098,7.3,7208,39.187,3.115
88,Dirty Dancing,6000000,213893795,100.0,59.74,7.4,4982,4.116,0.716
89,Indiana Jones and the Last Crusade,48000000,474171806,127.0,85.601,7.8,7923,39.187,4.335
90,Beverly Hills Cop,14000000,316360478,105.0,75.01,7.2,3085,4.609,3.2569999999999997
93,Anatomy of a Murder,2000000,8000000,161.0,32.489999999999995,7.9,681,2.832,2.832
95,Armageddon,140000000,553799566,151.0,134.629,6.8,6386,8.288,17.984
96,Beverly Hills Cop II,28000000,299965036,103.0,62.834,6.4,1797,2.821,3.2569999999999997
97,Tron,17000000,33000000,96.0,52.706,6.7,1693,2.198,2.0
98,Gladiator,103000000,465361176,155.0,111.381,8.2,14736,10.675,4.213
100,"Lock, Stock and Two Smoking Barrels",1350000,28356188,105.0,93.549,8.2,5249,16.548,14.592
101,Léon: The Professional,16000000,45284974,111.0,69.846,8.3,11756,10.859,3.926
103,Taxi Driver,1300000,28570902,114.0,85.60000000000001,8.2,9032,13.122,1.58
105,Back to the Future,19000000,381109762,116.0,98.74199999999999,8.3,16138,3.925,7.99
106,Predator,15000000,98267558,107.0,61.963,7.5,5951,6.497,4.827
107,Snatch,10000000,83557872,104.0,65.337,7.8,7126,16.548,14.592
111,Scarface,25000000,66023329,170.0,99.405,8.2,8962,6.328,1.283
114,Pretty Woman,14000000,463406268,119.0,83.579,7.4,6220,5.02,2.0
115,The Big Lebowski,15000000,46748047,117.0,105.18299999999999,7.9,9071,13.808,4.392
116,Match Point,15000000,85306374,124.0,124.766,7.3,3320,7.396,3.28
117,The Untouchables,25000000,76270454,119.0,90.946,7.8,4447,6.328,1.4
118,Charlie and the Chocolate Factory,150000000,474968763,115.0,115.015,7.0,12219,15.143,3.059
262260,The Desert Song,354000,3022000,123.0,6.856,4.0,1,4.779,0.0
120,The Lord of the Rings: The Fellowship of the Ring,93000000,871368364,179.0,110.444,8.4,20462,17.752,29.371000000000002
121,The Lord of the Rings: The Two Towers,79000000,926287400,179.0,100.861,8.4,17690,17.752,28.771
122,The Lord of the Rings: The Return of the King,94000000,1118888979,201.0,98.58,8.5,19038,17.752,28.771
123,The Lord of the Rings,4000000,30471420,132.0,28.799999999999997,6.6,622,2.544,1.98
393345,Cult of Chucky,6500000,2200000,91.0,62.34,5.8,861,4.37,7.377000000000001
134,"O Brother, Where Art Thou?",26000000,71868327,107.0,59.19500000000001,7.3,3224,13.808,4.392
137,Groundhog Day,14600000,71074049,101.0,87.414,7.6,6164,8.576,9.176
138,Dracula,355000,700000,74.0,15.314,7.2,829,1.439,3.827
141,Donnie Darko,6000000,7500000,114.0,73.875,7.8,10119,8.763,4.25
142,Brokeback Mountain,14000000,178043761,134.0,114.596,7.8,5510,3.241,2.261
143,All Quiet on the Western Front,1448864,3270000,133.0,9.595,7.8,508,2.568,1.788
524434,Eternals,200000000,402027582,156.0,125.108,7.2,4137,11.639,14.991999999999999
150,48 Hrs.,12000000,78868508,96.0,83.30799999999999,6.7,1080,3.041,2.801
152,Star Trek: The Motion Picture,35000000,139000000,132.0,31.706999999999997,6.5,1275,5.522,6.491
153,Lost in Translation,4000000,119723856,102.0,145.392,7.4,5823,3.341,9.705000000000002
154,Star Trek II: The Wrath of Khan,12000000,96800000,113.0,61.370000000000005,7.5,1452,1.669,0.6
155,The Dark Knight,185000000,1004558444,152.0,99.26599999999999,8.5,26802,18.254,29.416000000000004
157,Star Trek III: The Search for Spock,18000000,87000000,105.0,67.229,6.6,1003,5.509,1.943
161,Ocean's Eleven,85000000,450717150,116.0,101.46799999999999,7.4,9484,7.037,0.753
162,Edward Scissorhands,20000000,53000000,105.0,93.91900000000001,7.7,10619,15.143,15.743
163,Ocean's Twelve,110000000,362744280,125.0,91.53,6.5,5904,7.037,0.753
164,Breakfast at Tiffany's,2500000,9500000,114.0,52.620999999999995,7.7,3427,3.142,1.2
165,Back to the Future Part II,40000000,332000000,108.0,116.166,7.7,10358,3.925,7.99
167,K-PAX,48000000,50315140,120.0,62.067,7.2,1813,0.695,4.323
168,Star Trek IV: The Voyage Home,24000000,133000000,119.0,47.294,7.2,1090,5.509,1.943
169,Predator 2,35000000,57120318,108.0,71.39,6.2,2261,2.359,4.827
170,28 Days Later,5000000,85720385,113.0,107.27499999999999,7.2,5177,8.03,0.863
172,Star Trek V: The Final Frontier,30000000,70200000,107.0,41.589,5.7,874,11.336,1.943
173,"20,000 Leagues Under the Sea",5000000,28200000,127.0,47.821,7.1,595,2.009,11.956
174,Star Trek VI: The Undiscovered Country,27000000,96900000,113.0,52.159,7.0,939,1.669,2.307
176,Saw,1200000,103911669,103.0,75.029,7.4,7195,8.695,2.408
177,The Fisher King,24000000,41895491,138.0,70.72399999999999,7.3,1003,5.027,15.117999999999999
178,Blown Away,28000000,30156002,121.0,81.198,6.1,382,2.359,3.38
179,The Interpreter,80000000,162944923,128.0,67.134,6.3,1108,6.566,3.738
180,Minority Report,102000000,358372926,145.0,95.35000000000001,7.3,6900,39.187,11.127
182,The Good German,32000000,5914908,108.0,97.25900000000001,5.8,234,7.037,4.992
